IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
103.201.130.155,47290,443,TRUE,NRT,Asia Pacific,Tokyo,105,0.83
141.98.197.101,11665,443,TRUE,SIN,Asia Pacific,Singapore,114,0.8
43.239.249.49,14276,443,TRUE,NRT,Asia Pacific,Tokyo,111,0.75
193.32.150.65,16870,443,TRUE,SIN,Asia Pacific,Singapore,110,0.74
147.78.244.151,34847,443,TRUE,HKG,Asia Pacific,Hong Kong,108,0.66
45.66.128.148,35963,443,TRUE,SIN,Asia Pacific,Singapore,105,0.61
45.142.166.79,34237,2096,TRUE,NRT,Asia Pacific,Tokyo,110,0.53
147.78.244.76,34237,2096,TRUE,NRT,Asia Pacific,Tokyo,110,0.52
195.245.241.30,12345,443,TRUE,NRT,Asia Pacific,Tokyo,103,0.5
45.66.128.148,51361,443,TRUE,NRT,Asia Pacific,Tokyo,102,0.42
176.119.148.109,23656,443,TRUE,HKG,Asia Pacific,Hong Kong,111,0.4
141.98.197.103,55271,443,TRUE,NRT,Asia Pacific,Tokyo,108,0.39
176.126.114.224,11001,443,TRUE,NRT,Asia Pacific,Tokyo,109,0.39
45.66.128.148,50053,443,TRUE,NRT,Asia Pacific,Tokyo,107,0.38
195.245.241.138,46587,443,TRUE,HKG,Asia Pacific,Hong Kong,108,0.37
193.32.149.196,17809,80,FALSE,HKG,Asia Pacific,Hong Kong,106,0.36
62.106.70.181,10006,443,TRUE,NRT,Asia Pacific,Tokyo,112,0.34
45.66.129.42,11015,443,TRUE,NRT,Asia Pacific,Tokyo,113,0.33
45.142.166.55,22387,80,FALSE,HKG,Asia Pacific,Hong Kong,119,0.32
195.245.241.30,10000,443,TRUE,TPE,Asia Pacific,Taipei,103,0.31
195.245.241.30,12222,443,TRUE,NRT,Asia Pacific,Tokyo,111,0.3
193.32.150.41,22363,443,TRUE,NRT,Asia Pacific,Tokyo,110,0.29
147.78.247.171,30326,443,TRUE,HKG,Asia Pacific,Hong Kong,110,0.27
103.201.130.51,5205,443,TRUE,SIN,Asia Pacific,Singapore,106,0.27
195.245.242.232,53942,8443,TRUE,HKG,Asia Pacific,Hong Kong,107,0.24
45.143.235.42,8443,443,TRUE,NRT,Asia Pacific,Tokyo,103,0.23
185.184.223.19,59775,443,TRUE,NRT,Asia Pacific,Tokyo,109,0.22
45.66.128.216,2003,2053,TRUE,HKG,Asia Pacific,Hong Kong,131,0.22
45.66.216.109,6162,443,TRUE,SIN,Asia Pacific,Singapore,112,0.2
45.143.235.42,2053,443,TRUE,NRT,Asia Pacific,Tokyo,106,0.15
45.66.131.214,25462,0,TRUE,NRT,Asia Pacific,Tokyo,170,0.13
62.106.70.27,46918,443,TRUE,NRT,Asia Pacific,Tokyo,112,0.11
147.78.246.86,53443,443,TRUE,NRT,Asia Pacific,Tokyo,119,0.04
195.245.241.123,26876,443,TRUE,HKG,Asia Pacific,Hong Kong,111,0
88.214.22.200,34237,2096,TRUE,NRT,Asia Pacific,Tokyo,121,0
45.66.128.148,47998,443,TRUE,NRT,Asia Pacific,Tokyo,105,0
195.245.242.51,34237,0,TRUE,NRT,Asia Pacific,Tokyo,96,0
176.126.114.97,443,443,TRUE,SIN,Asia Pacific,Singapore,111,0
103.117.101.24,30809,80,FALSE,HKG,Asia Pacific,Hong Kong,78,0.76
154.3.37.27,9004,443,TRUE,SIN,Asia Pacific,Singapore,78,0.53
154.21.81.31,8443,443,TRUE,LAX,North America,Los Angeles,184,0.52
154.12.191.87,30810,80,FALSE,HKG,Asia Pacific,Hong Kong,104,0.52
154.12.191.87,10809,80,FALSE,SIN,Asia Pacific,Singapore,104,0.46
154.17.6.131,12814,443,TRUE,LAX,North America,Los Angeles,177,0.26
154.17.31.217,37976,443,TRUE,LAX,North America,Los Angeles,182,0.25
154.17.29.80,50235,443,TRUE,LAX,North America,Los Angeles,189,0.16
